,TEAM_NAME,YEAR,WIN_PCT,NBA_FINALS_APPEARANCE,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS
70,Hawks,2019,0.299,N/A,0.449,0.333,0.79,9.865671641791044,33.38805970149254,43.25373134328358,23.955223880597014,23.104477611940297,7.8059701492537314,16.208955223880597,5.08955223880597,111.76119402985074
71,Hawks,2020,0.569,N/A,0.468,0.373,0.812,10.555555555555555,35.06944444444444,45.625,24.125,19.333333333333332,6.986111111111111,13.23611111111111,4.75,113.69444444444444
44,Celtics,1990,0.683,N/A,0.512,0.315,0.824,13.268292682926829,32.890243902439025,46.15853658536585,26.341463414634145,20.670731707317074,8.195121951219512,16.097560975609756,6.890243902439025,111.52439024390245
45,Celtics,1991,0.622,N/A,0.492,0.306,0.808,13.353658536585366,31.5,44.853658536585364,25.26829268292683,20.5609756097561,7.7560975609756095,14.207317073170731,5.902439024390244,106.64634146341463
46,Celtics,1992,0.585,N/A,0.487,0.287,0.777,13.121951219512194,29.70731707317073,42.829268292682926,24.378048780487806,22.70731707317073,7.890243902439025,14.317073170731707,5.585365853658536,103.6829268292683
47,Celtics,1993,0.39,N/A,0.472,0.289,0.73,12.646341463414634,29.024390243902438,41.670731707317074,23.51219512195122,22.548780487804876,8.21951219512195,15.146341463414634,5.365853658536586,100.8170731707317
48,Celtics,1994,0.427,N/A,0.464,0.368,0.753,14.097560975609756,28.29268292682927,42.390243902439025,21.74390243902439,24.085365853658537,7.463414634146342,15.914634146341463,4.402439024390244,102.78048780487805
49,Celtics,1995,0.402,N/A,0.456,0.371,0.714,12.804878048780488,29.597560975609756,42.40243902439025,21.853658536585368,24.890243902439025,7.963414634146342,15.878048780487806,4.951219512195122,103.59756097560975
50,Celtics,1996,0.183,N/A,0.44,0.351,0.75,13.353658536585366,26.682926829268293,40.03658536585366,21.853658536585368,23.353658536585368,9.878048780487806,16.365853658536587,3.841463414634146,100.58536585365853
51,Celtics,1997,0.439,N/A,0.434,0.332,0.726,14.585365853658537,24.926829268292682,39.51219512195122,22.146341463414632,26.865853658536587,12.036585365853659,16.21951219512195,4.463414634146342,95.90243902439025
52,Celtics,1998,0.38,N/A,0.436,0.36,0.692,13.6,29.16,42.76,21.46,23.86,9.06,16.14,5.1,93.0
53,Celtics,1999,0.427,N/A,0.444,0.331,0.745,13.512195121951219,29.51219512195122,43.02439024390244,21.23170731707317,27.109756097560975,9.695121951219512,15.353658536585366,3.4878048780487805,99.34146341463415
54,Celtics,2000,0.439,N/A,0.428,0.363,0.74,10.939024390243903,28.865853658536587,39.80487804878049,20.829268292682926,23.804878048780488,9.378048780487806,15.670731707317072,4.097560975609756,94.6219512195122
55,Celtics,2001,0.598,N/A,0.424,0.359,0.764,10.865853658536585,31.341463414634145,42.207317073170735,21.0,21.658536585365855,9.670731707317072,13.585365853658537,3.5609756097560976,96.35365853658537
56,Celtics,2002,0.537,N/A,0.415,0.334,0.742,10.353658536585366,30.134146341463413,40.48780487804878,19.20731707317073,21.4390243902439,8.78048780487805,13.987804878048781,3.6951219512195124,92.67073170731707
57,Celtics,2003,0.439,N/A,0.443,0.346,0.75,10.378048780487806,29.75609756097561,40.13414634146341,20.524390243902438,22.402439024390244,9.390243902439025,16.24390243902439,4.036585365853658,95.2560975609756
58,Celtics,2004,0.549,N/A,0.468,0.349,0.764,11.085365853658537,29.73170731707317,40.81707317073171,22.073170731707318,24.390243902439025,8.134146341463415,15.817073170731707,5.158536585365853,101.26829268292683
59,Celtics,2005,0.402,N/A,0.467,0.362,0.755,9.914634146341463,29.658536585365855,39.573170731707314,20.926829268292682,24.79268292682927,7.048780487804878,16.573170731707318,5.146341463414634,97.96341463414635
60,Celtics,2006,0.293,N/A,0.443,0.367,0.767,11.195121951219512,29.158536585365855,40.353658536585364,19.878048780487806,24.036585365853657,7.182926829268292,16.463414634146343,4.658536585365853,95.8170731707317
61,Celtics,2007,0.805,LEAGUE CHAMPION,0.475,0.381,0.771,10.121951219512194,31.890243902439025,42.01219512195122,22.353658536585368,22.73170731707317,8.487804878048781,15.195121951219512,4.621951219512195,100.54878048780488
62,Celtics,2008,0.756,N/A,0.486,0.397,0.765,10.597560975609756,31.536585365853657,42.13414634146341,22.70731707317073,23.134146341463413,7.573170731707317,15.609756097560975,4.719512195121951,100.91463414634147
63,Celtics,2009,0.61,FINALS APPEARANCE,0.483,0.348,0.746,8.731707317073171,29.865853658536587,38.59756097560975,23.536585365853657,22.146341463414632,8.548780487804878,14.865853658536585,4.902439024390244,99.21951219512195
64,Celtics,2010,0.683,N/A,0.486,0.365,0.77,7.7926829268292686,31.0,38.792682926829265,23.426829268292682,20.463414634146343,8.24390243902439,14.573170731707316,4.195121951219512,96.5
65,Celtics,2011,0.591,N/A,0.46,0.367,0.778,7.712121212121212,31.075757575757574,38.78787878787879,23.59090909090909,19.924242424242426,7.545454545454546,14.833333333333334,5.484848484848484,91.84848484848484
66,Celtics,2012,0.506,N/A,0.465,0.358,0.776,8.074074074074074,31.271604938271604,39.34567901234568,22.753086419753085,21.19753086419753,8.234567901234568,14.580246913580247,4.506172839506172,96.51851851851852
